https://%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%CC%86%D0%BD-%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C.%D1%80%D1%84 - https://онлайн-читать.рф – request error: Failed to parse: '%d0%be%d0%bd%d0%bb%d0%b0%d0%b8%cc%86%d0%bd-%d1%87%d0%b8%d1%82%d0%b0%d1%82%d1%8c.%d1%80%d1%84', label empty or too long
https://beru.ru tiu.ru - https://beru.ru tiu.ru – request error: HTTPSConnectionPool(host='beru.ru%20tiu.ru', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f839cf250>: Failed to resolve 'beru.ru%20tiu.ru' ([Errno -2] Name or service not known)"))
https://ekovolga.com - https://ekovolga.com – request error: HTTPSConnectionPool(host='ekovolga.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f839cd850>: Failed to resolve 'ekovolga.com' ([Errno -2] Name or service not known)"))
https://%D1%81%D1%82%D0%BE%D0%BF%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81.%D1%80%D1%84 - https://стопкоронавирус.рф – request error: Failed to parse: '%d1%81%d1%82%d0%be%d0%bf%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0%d0%b2%d0%b8%d1%80%d1%83%d1%81.%d1%80%d1%84', label empty or too long
https://%D0%B0%D0%B2%D1%86.%D1%80%D1%84 - https://авц.рф – request error: HTTPSConnectionPool(host='%d0%b0%d0%b2%d1%86.%d1%80%d1%84', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f83cfaa10>: Failed to resolve '%d0%b0%d0%b2%d1%86.%d1%80%d1%84' ([Errno -2] Name or service not known)"))
https://rulit.online - https://rulit.online – request error: HTTPSConnectionPool(host='rulit.online', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f839cc290>: Failed to resolve 'rulit.online' ([Errno -2] Name or service not known)"))
https://riafan.ru - https://riafan.ru – request error: HTTPSConnectionPool(host='riafan.ru', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f839ce590>: Failed to resolve 'riafan.ru' ([Errno -2] Name or service not known)"))
https://%D0%BC%D1%8B%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B52020.%D1%80%D1%84 - https://мывместе2020.рф – request error: HTTPSConnectionPool(host='%d0%bc%d1%8b%d0%b2%d0%bc%d0%b5%d1%81%d1%82%d0%b52020.%d1%80%d1%84', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f839cf990>: Failed to resolve '%d0%bc%d1%8b%d0%b2%d0%bc%d0%b5%d1%81%d1%82%d0%b52020.%d1%80%d1%84' ([Errno -2] Name or service not known)"))
https://futurerussia.gov.ru - https://futurerussia.gov.ru – request error: HTTPSConnectionPool(host='futurerussia.gov.ru', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f820e45d0>: Failed to resolve 'futurerussia.gov.ru' ([Errno -2] Name or service not known)"))
https://%D0%BC%D0%BE%D0%B8%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D1%8B.%D1%80%D1%84 - https://моидокументы.рф – request error: Failed to parse: '%d0%bc%d0%be%d0%b8%d0%b4%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d1%8b.%d1%80%d1%84', label empty or too long
https://kodeks.rusudact.ru - https://kodeks.rusudact.ru – request error: HTTPSConnectionPool(host='kodeks.rusudact.ru', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f6f83a49510>: Failed to resolve 'kodeks.rusudact.ru' ([Errno -2] Name or service not known)"))
